,page,country,rev_id,article_quality_est,FIPS,Name,Type,TimeFrame,Data (M),Population
3,Julius Gregr,Czech Republic,395521877,Stub,,,,,,
4,Edvard Gregr,Czech Republic,395526568,Stub,,,,,,
29,Timoteo Menéndez,Salvadoran,566504165,Stub,,,,,,
31,Gervas Clay,Rhodesian,574571582,Stub,,,,,,
34,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub,,,,,,
76,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start,,,,,,
88,"List of members of the Løgting, 1974–78",Faroese,643932216,Start,,,,,,
89,"List of members of the Løgting, 1978–80",Faroese,643932220,Start,,,,,,
90,"List of members of the Løgting, 1980–84",Faroese,643932225,Start,,,,,,
91,"List of members of the Løgting, 1984–88",Faroese,643932226,Start,,,,,,
92,"List of members of the Løgting, 1990–94",Faroese,643932239,Start,,,,,,
93,"List of members of the Løgting, 1994–98",Faroese,643932242,Start,,,,,,
99,James Bisset (mayor),Cape Colony,647367482,Start,,,,,,
109,Augustus Joseph Tancred,Cape Colony,651250302,Stub,,,,,,
112,Johan Conrad Silberbauer,Cape Colony,653467222,Stub,,,,,,
131,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub,,,,,,
133,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub,,,,,,
145,James Cotterell Hoole,Cape Colony,666596918,Stub,,,,,,
161,Harry Davies (politician),Rhodesian,669387487,Start,,,,,,
177,Patrick Goold,Cape Colony,670210734,Start,,,,,,
200,Toluono Feti,Samoan,671515606,Stub,,,,,,
215,Miroslav Poche,Czech Republic,672862914,Stub,,,,,,
216,Vojtěch Mynář,Czech Republic,673008587,Stub,,,,,,
221,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub,,,,,,
236,Andries Botha,Cape Colony,676828191,B,,,,,,
258,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub,,,,,,
270,Charles William Hutton,Cape Colony,680205631,C,,,,,,
272,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub,,,,,,
286,William Fairbridge,Rhodesian,682576258,Start,,,,,,
323,Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub,,,,,,
